sku,category,tags,title,price,color,size,images,class,number_of_speeds,max_speed,wheel_diameter,frame_material,brake_type
200606329,Electric transport>Electric bicycles,Ecological,Електровелосипед Maxxter Ruffer Black-Green,21998,Black-Green,16,https://content1.rozetka.com.ua/goods/images/big/123538709.jpg|https://content.rozetka.com.ua/goods/images/big/123538780.jpg|https://content2.rozetka.com.ua/goods/images/big/123538782.jpg|https://content2.rozetka.com.ua/goods/images/big/123538784.jpg|https://content2.rozetka.com.ua/goods/images/big/123538787.jpg|https://content1.rozetka.com.ua/goods/images/big/123538789.jpg,City,,25,20,Aluminum,Disk hydraulic
200672083,Electric transport>Electric bicycles,Ecological,Електровелосипед Maxxter Mini Black-White,17999, Black-White,14,https://content2.rozetka.com.ua/goods/images/big/123561516.jpg|https://content2.rozetka.com.ua/goods/images/big/123561518.jpg|https://content1.rozetka.com.ua/goods/images/big/123561521.jpg|https://content.rozetka.com.ua/goods/images/big/123561525.jpg|https://content.rozetka.com.ua/goods/images/big/123561527.jpg|https://content2.rozetka.com.ua/goods/images/big/123561529.jpg,City,,25,14,Aluminum,Disk hydraulic
200675389,Electric transport>Electric bicycles,Ecological,Електровелосипед Maxxter Urban Plus Yellow-Black,18998,Yellow-Black,14,https://content.rozetka.com.ua/goods/images/big/123562829.jpg|https://content1.rozetka.com.ua/goods/images/big/123562843.jpg|https://content2.rozetka.com.ua/goods/images/big/123562852.jpg|https://content.rozetka.com.ua/goods/images/big/123562865.jpg|https://content2.rozetka.com.ua/goods/images/big/123562883.jpg|https://content2.rozetka.com.ua/goods/images/big/123562898.jpg,City,,25,14,Aluminum,Disk hydraulic
95831932,Electric transport>Electric bicycles,Ecological,Електровелосипед TRINX E-Bike Sella 2.0 17,29000,Black,18,https://content.rozetka.com.ua/goods/images/big/15071285.jpg|https://content1.rozetka.com.ua/goods/images/big/15071242.jpg|https://content1.rozetka.com.ua/goods/images/big/15071271.jpg|https://content2.rozetka.com.ua/goods/images/big/15071316.jpg|https://content2.rozetka.com.ua/goods/images/big/15071422.jpg,City,,30,24,Aluminum,Disk hydraulic
95829988,Electric transport>Electric bicycles,Ecological,Електровелосипед TRINX E-Bike Sella 2.0 17,29000,Champagne-Gold,18,https://content.rozetka.com.ua/goods/images/big/15071111.jpg|https://content2.rozetka.com.ua/goods/images/big/15070973.jpg|https://content1.rozetka.com.ua/goods/images/big/15070980.jpg|https://content.rozetka.com.ua/goods/images/big/15071088.jpg|https://content1.rozetka.com.ua/goods/images/big/15071153.jpg,City,,30,24,Aluminum,Disk hydraulic
190032452,Electric transport>Electric bicycles,Ecological,Електровелосипед Zhengbu H1Black from red,22599,Black from red,17,https://content.rozetka.com.ua/goods/images/big/118973308.jpg|https://content1.rozetka.com.ua/goods/images/big/118973313.jpg|https://content.rozetka.com.ua/goods/images/big/118973344.jpg|https://content2.rozetka.com.ua/goods/images/big/118973377.jpg|https://content.rozetka.com.ua/goods/images/big/118973394.jpg|https://content.rozetka.com.ua/goods/images/big/118973407.jpg,mountin,,50,26,Aluminum,Disk hydraulic
151094672,Electric transport>Electric bicycles,Ecological,Електровелосипед (трицикл) Skybike 3-Cycle синій,21097,Blue,16,https://content.rozetka.com.ua/goods/images/big/19091586.jpg|https://content1.rozetka.com.ua/goods/images/big/19091641.jpg|https://content2.rozetka.com.ua/goods/images/big/19091655.jpg|https://content1.rozetka.com.ua/goods/images/big/19091689.jpg,City,,25,24,Steel,Disk drumed
151094532,Electric transport>Electric bicycles,Ecological,Електровелосипед (трицикл) Skybike 3-Cycle червоний,21097,Red,16,https://content1.rozetka.com.ua/goods/images/big/19091675.jpg|https://content2.rozetka.com.ua/goods/images/big/19091687.jpg|https://content.rozetka.com.ua/goods/images/big/19091696.jpg|https://content1.rozetka.com.ua/goods/images/big/19091700.jpg,City,,25,24,Steel,Disk drumed
290250803,Electric transport>Electric bicycles,Ecological,Електровелосипед складаний Formula Smart складаний передній привід із заниженою рамою 36V 10 Ah 350,15290,Black,16,https://content2.rozetka.com.ua/goods/images/big/171130457.jpg|https://content1.rozetka.com.ua/goods/images/big/171130458.jpg|https://content1.rozetka.com.ua/goods/images/big/171130459.jpg|https://content2.rozetka.com.ua/goods/images/big/171130462.jpg,City,,30,24,Steel,Disk hydraulic
290293683,Electric transport>Electric bicycles,Ecological,Електровелосипед складаний Formula Smart складаний передній привід із заниженою рамою 36V 10 Ah 350,15290,Green,16,https://content1.rozetka.com.ua/goods/images/big/171230195.jpg|https://content.rozetka.com.ua/goods/images/big/171230197.jpg|https://content1.rozetka.com.ua/goods/images/big/171230199.jpg|https://content1.rozetka.com.ua/goods/images/big/171230200.jpg,City,,30,24,Steel,Disk hydraulic
